query_id;plan_id;stage_id;pipeline_id;dop;0;operator_type;execution_time;add_input_wall_ms;get_output_wall_ms;finish_wall_ms;blocked_wall_ms;is_blocked_wall_ms;l_input_rows;r_input_rows;input_rows;raw_input_rows;output_rows;input_bytes;raw_input_bytes;output_bytes;output_per_input_rows;output_per_input_bytes;bytes_per_input_row;bytes_per_output_row;blocked_ratio;add_input_calls;get_output_calls;finish_calls;total_drivers;peak_mem;user_mem;revocable_mem;system_mem;spilled_bytes;physical_written_bytes;build_keys;null_build_keys;probe_keys;null_probe_keys;input_avg_rows_per_call;input_var_proxy;child_count;is_leaf;is_exchange_like;is_join;child_plan
1;0;0;0;1;64;MergeOperator;3750.000;0.000;3750.000;0.000;2840.000;0.000;3853866;0;3853866;3853866;3853866;730443220;699733616;730443220;1.000000;1.000000;189.535189;189.535189;0.430956;0;703;0;1;53366072;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;16
1;1;0;0;1;64;ExplainAnalyzeOperator;6.142;1.290;4.850;0.002;0.000;0.000;3853866;0;3853866;0;1;730443220;0;14849;0.000000;0.000020;189.535189;14849.000000;0.000000;697;706;1;1;0;0;0;0;0;0;0;0;0;0;5529.219512;21278298816.171326;1;0;0;0;0
1;2;0;0;1;64;TaskOutputOperator;0.134;0.130;0.000;0.004;0.000;0.000;1;0;1;0;1;14849;0;14849;1.000000;1.000000;14849.000000;14849.000000;0.000000;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1.000000;0.000000;1;0;0;0;1
1;3;1;1;64;64;ExchangeOperator;897.202;0.000;896.810;0.392;172200.000;896.810;3853866;0;3853866;3853866;3853866;1584559691;699789364;1584559691;1.000000;1.000000;411.161076;411.161076;0.994817;0;301;64;64;12902400;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;16
1;4;1;1;64;64;OrderBy;7896.370;3720.000;3290.000;886.370;0.000;3290.000;3853866;0;3853866;0;3853866;1584559691;0;1043044646;1.000000;0.658255;411.161076;270.648914;0.000000;237;1550;1211;64;73389248;187468672;0;0;0;0;0;0;0;0;16261.037975;17085435499.724295;1;0;0;0;3
1;5;1;0;4;64;LocalMerge;1200.015;0.000;1200.000;0.015;11260.000;1200.000;0;0;0;0;3853866;0;0;1706621568;0.000000;0.000000;0.000000;442.833655;0.903691;0;3769;4;4;454656;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;6
1;6;1;1;64;64;CallbackSink;15.820;5.340;5.110;5.370;49650.000;5.110;3853866;0;3853866;0;0;1043044646;0;0;0.000000;0.000000;270.648914;0.000000;0.999681;403;1377;1441;64;0;0;0;0;0;0;0;0;0;0;9562.942928;10111815816.872673;1;0;0;0;4
1;7;1;0;4;64;PartitionedOutput;1440.720;101.550;1330.000;9.170;5600.000;1330.000;3853866;0;3853866;0;3853866;1706621568;0;699746615;1.000000;0.410019;442.833655;181.570043;0.795373;3765;3882;3886;4;38144640;111919104;0;0;0;0;0;0;0;0;1023.603187;1091094620.262726;1;0;0;0;5
1;8;2;3;64;64;LocalExchangeSourceOperator;737.110;722.430;6.710;7.970;0.000;6.710;11350694;0;11350694;0;11350694;350395041;0;350395041;1.000000;1.000000;30.869922;30.869922;0.000000;545;1891;1955;64;2527232;7851008;0;0;0;0;0;0;0;0;20826.961468;58666382164.965492;1;0;1;0;26
1;9;2;2;64;64;HashBuilderOperator;14265.220;11690.000;1840.000;735.220;10400.000;1840.000;11350694;0;11350694;0;0;350382237;0;0;0.000000;0.000000;30.868794;0.000000;0.421646;8720;15058;14994;64;45641984;687865856;0;0;0;0;11350694;0;0;0;1301.685092;3692064646.481338;1;0;0;0;27
1;10;2;1;64;64;ExchangeOperator;2790.258;0.000;2790.000;0.258;49740.000;2790.000;15000000;0;15000000;15000000;15000000;6682093007;2497730579;6682093007;1.000000;1.000000;445.472867;445.472867;0.946883;0;1110;64;64;13041664;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;29
1;11;2;1;64;64;LookupJoinOperator;2601.270;744.980;1850.000;6.290;78000.000;1850.000;15000000;0;15000000;0;11350694;6682093007;0;5340111499;0.756713;0.799167;445.472867;470.465638;0.967727;1046;13287;1733;64;2140160;65142784;0;0;0;0;0;0;15000000;0;14340.344168;53570667391.707550;2;0;0;1;9,10
